user_id,age,salary,score,country,email,signup_date
1,22.0,79244.0,95.13361410416796,IN,user0@example.com,2022-01-01
2,43.0,96784.0,25.795460081190356,US,user1@example.com,2022-01-06
3,21.0,105413.0,51.98816863812533,INVALID_CC,user2@example.com,2022-01-11
4,37.0,81556.0,86.81035473673843,XX,user3@example.com,2022-01-16
5,41.0,81779.0,45.936149002902305,UK,user4@example.com,2022-01-21
6,57.0,117259.0,11.000553116671952,IN,user5@example.com,2022-01-26
7,46.0,50961.0,79.90021540091455,US,user6@example.com,2022-01-31
8,32.0,117059.0,49.79191116041611,INVALID_CC,user7@example.com,2022-02-05
9,41.0,45259.0,19.71754705527332,XX,user8@example.com,2022-02-10
10,26.0,103220.0,87.60751098430084,UK,user9@example.com,2022-02-15
11,43.0,103401.0,26.8174469017322,IN,user10@example.com,2022-02-20
12,64.0,118805.0,23.693823844683028,US,user11@example.com,2022-02-25
13,60.0,35085.0,37.25929400002339,INVALID_CC,user12@example.com,2022-03-02
14,44.0,85249.0,38.59036734444131,XX,user13@example.com,2022-03-07
15,26.0,96975.0,23.309063520852103,UK,user14@example.com,2022-03-12
16,57.0,76210.0,17.57793858406018,IN,user15@example.com,2022-03-17
17,56.0,108931.0,39.85057899150418,US,user16@example.com,2022-03-22
18,22.0,34018.0,84.16296403642562,INVALID_CC,user17@example.com,2022-03-27
19,25.0,77125.0,78.67305923905093,XX,user18@example.com,2022-04-01
20,62.0,117671.0,64.07810603771512,UK,user19@example.com,2022-04-06
21,18.0,107379.0,49.601705638371875,IN,user20@example.com,2022-04-11
22,29.0,77307.0,47.305580834172325,US,user21@example.com,2022-04-16
23,24.0,103775.0,47.423468848843,INVALID_CC,user22@example.com,2022-04-21
24,37.0,63117.0,94.35772046435956,XX,user23@example.com,2022-04-26
25,62.0,105883.0,73.77992773664093,UK,user24@example.com,2022-05-01
26,23.0,87065.0,4.157300160249767,IN,user25@example.com,2022-05-06
27,42.0,75710.0,75.77803564110035,US,user26@example.com,2022-05-11
28,18.0,83524.0,51.34010017450398,INVALID_CC,user27@example.com,2022-05-16
29,52.0,81196.0,17.84257547576489,XX,user28@example.com,2022-05-21
30,27.0,93523.0,39.200155782056015,UK,user29@example.com,2022-05-26
31,32.0,72800.0,93.95927567444704,IN,user30@example.com,2022-05-31
32,56.0,48692.0,21.291857616187727,US,user31@example.com,2022-06-05
33,22.0,72795.0,81.329627042838,INVALID_CC,user32@example.com,2022-06-10
34,64.0,85752.0,40.364857635239645,XX,user33@example.com,2022-06-15
35,27.0,35594.0,58.67209206656312,UK,user34@example.com,2022-06-20
36,41.0,52266.0,18.599888777843,IN,user35@example.com,2022-06-25
37,53.0,82790.0,81.23225139858623,US,user36@example.com,2022-06-30
38,21.0,74587.0,58.08474098083257,INVALID_CC,user37@example.com,2022-07-05
39,26.0,82439.0,44.693254033084195,XX,user38@example.com,2022-07-10
40,37.0,44770.0,79.80814071303503,UK,user39@example.com,2022-07-15
41,19.0,96691.0,54.42718533788814,IN,user40@example.com,2022-07-20
42,18.0,49869.0,41.841659076157,US,user41@example.com,2022-07-25
43,34.0,60604.0,1.9156662987397155,INVALID_CC,user42@example.com,2022-07-30
44,49.0,106623.0,68.37737251592846,XX,user43@example.com,2022-08-04
45,47.0,46157.0,48.80979212647244,UK,user44@example.com,2022-08-09
46,62.0,91064.0,22.057966539744132,IN,user45@example.com,2022-08-14
47,46.0,104294.0,55.05430459749054,US,user46@example.com,2022-08-19
48,25.0,54949.0,52.2591106408385,INVALID_CC,user47@example.com,2022-08-24
49,41.0,98294.0,48.75524809528782,XX,user48@example.com,2022-08-29
50,28.0,91077.0,26.303148395643426,UK,user49@example.com,2022-09-03
51,59.0,50524.0,52.72857910148869,IN,user50@example.com,2022-09-08
52,53.0,106763.0,98.4465732493866,US,user51@example.com,2022-09-13
53,18.0,30647.0,62.34234511668449,INVALID_CC,user52@example.com,2022-09-18
54,25.0,33793.0,62.9556934844924,XX,user53@example.com,2022-09-23
55,41.0,46581.0,90.99728965702066,UK,user54@example.com,2022-09-28
56,137.0,114068.0,96.2519488076457,IN,user55@example.com,2022-10-03
57,-1.0,49636.0,58.509980267491414,US,user56@example.com,2022-10-08
58,0.0,260505.75,16.489774484164233,INVALID_CC,user57@example.com,2022-10-13
59,137.0,-5000.0,225.94,XX,user58@example.com,2022-10-18
60,137.0,0.0,-50.0,UK,user59@example.com,2022-10-23
