user_id,age,salary,email,score,country,signup_date
1,40.0,78954.5,user11@example.com,51.78,IN,2023-01-01
2,56.0,39268.0,user1@example.com,12.21,US,2023-01-04
3,46.0,116807.0,user2@example.com,35.63,UK,2023-01-07
4,32.0,42185.0,user3@example.com,90.68,DE,2023-01-10
5,60.0,93704.0,user4@example.com,27.21,FR,2023-01-13
6,25.0,78954.5,user5@example.com,64.77,IN,2023-01-16
7,38.0,116779.0,user6@example.com,0.05,US,2023-01-19
8,40.0,69099.0,user7@example.com,35.26,UK,2023-01-22
9,56.0,38571.0,user8@example.com,51.78,DE,2023-01-25
10,36.0,68044.0,user9@example.com,30.48,FR,2023-01-28
11,40.0,78954.5,user11@example.com,16.47,IN,2023-01-31
12,28.0,81214.0,user11@example.com,53.41,US,2023-02-03
13,28.0,91228.0,user12@example.com,48.48,UK,2023-02-06
14,41.0,78984.0,user13@example.com,69.24,DE,2023-02-09
15,40.0,70774.0,user14@example.com,26.94,FR,2023-02-12
16,53.0,78954.5,user15@example.com,24.41,IN,2023-02-15
17,57.0,32568.0,user16@example.com,51.78,US,2023-02-18
18,41.0,92592.0,user17@example.com,16.83,UK,2023-02-21
19,20.0,97563.0,user18@example.com,21.88,DE,2023-02-24
20,39.0,32695.0,user19@example.com,55.81,FR,2023-02-27
21,19.0,78954.5,user11@example.com,40.38,IN,2023-03-02
22,40.0,78190.0,user21@example.com,6.49,US,2023-03-05
23,41.0,35258.0,user22@example.com,25.39,UK,2023-03-08
24,61.0,117538.0,user23@example.com,24.69,DE,2023-03-11
25,47.0,69504.0,user24@example.com,51.78,FR,2023-03-14
26,55.0,78954.5,user25@example.com,69.63,IN,2023-03-17
27,19.0,63159.0,user26@example.com,71.23,US,2023-03-20
28,38.0,43986.0,user27@example.com,14.81,UK,2023-03-23
29,40.0,91858.0,user28@example.com,99.77,DE,2023-03-26
30,50.0,42666.0,user29@example.com,26.68,FR,2023-03-29
31,29.0,78954.5,user11@example.com,97.66,IN,2023-04-01
32,39.0,68660.0,user31@example.com,41.1,US,2023-04-04
33,61.0,33561.0,user32@example.com,51.78,UK,2023-04-07
34,42.0,56854.0,user33@example.com,3.31,DE,2023-04-10
35,44.0,94505.0,user34@example.com,34.51,FR,2023-04-13
36,40.0,78954.5,user35@example.com,63.44,IN,2023-04-16
37,59.0,82251.0,user36@example.com,68.07,US,2023-04-19
38,45.0,52662.0,user37@example.com,53.09,UK,2023-04-22
39,33.0,38392.0,user38@example.com,44.78,DE,2023-04-25
40,32.0,60535.0,user39@example.com,55.29,FR,2023-04-28
41,64.0,78954.5,user11@example.com,51.78,IN,2023-05-01
42,61.0,108603.0,user41@example.com,59.27,US,2023-05-04
43,40.0,82256.0,user42@example.com,8.09,UK,2023-05-07
44,20.0,119135.0,user43@example.com,36.97,DE,2023-05-10
45,54.0,65222.0,user44@example.com,24.22,FR,2023-05-13
46,24.0,78954.5,user45@example.com,80.31,IN,2023-05-16
47,38.0,107373.0,user46@example.com,47.03,US,2023-05-19
48,26.0,109575.0,user47@example.com,98.34,UK,2023-05-22
49,56.0,114651.0,user48@example.com,51.78,DE,2023-05-25
50,40.0,93335.0,user49@example.com,39.88,FR,2023-05-28
51,35.0,78954.5,user11@example.com,81.64,IN,2023-05-31
52,21.0,40965.0,user51@example.com,79.83,US,2023-06-03
53,42.0,54538.0,user52@example.com,15.07,UK,2023-06-06
54,31.0,100592.0,user53@example.com,50.82,DE,2023-06-09
55,26.0,38110.0,user54@example.com,69.58,FR,2023-06-12
56,43.0,78954.5,user55@example.com,85.84,IN,2023-06-15
57,40.0,109309.0,user56@example.com,51.78,US,2023-06-18
58,19.0,57266.0,user57@example.com,32.6,UK,2023-06-21
59,37.0,82992.0,user58@example.com,22.02,DE,2023-06-24
60,45.0,112948.0,user59@example.com,71.11,FR,2023-06-27
61,64.0,78954.5,user11@example.com,80.95,IN,2023-06-30
62,24.0,36910.0,user61@example.com,34.87,US,2023-07-03
63,61.0,30206.0,user62@example.com,9.62,UK,2023-07-06
64,40.0,117054.0,user63@example.com,94.05,DE,2023-07-09
65,25.0,117897.0,user64@example.com,51.78,FR,2023-07-12
66,64.0,78954.5,user65@example.com,39.76,IN,2023-07-15
67,52.0,53419.0,user66@example.com,51.78,US,2023-07-18
68,31.0,80636.0,user67@example.com,83.77,UK,2023-07-21
69,34.0,80015.0,user68@example.com,67.57,DE,2023-07-24
70,53.0,84268.0,user69@example.com,73.52,FR,2023-07-27
71,40.0,78954.5,user11@example.com,20.91,IN,2023-07-30
72,57.0,117939.0,user71@example.com,54.14,US,2023-08-02
73,21.0,48141.0,user72@example.com,51.78,UK,2023-08-05
74,19.0,110356.0,user73@example.com,69.58,DE,2023-08-08
75,23.0,101910.0,user74@example.com,22.86,FR,2023-08-11
76,59.0,78954.5,user75@example.com,17.5,IN,2023-08-14
77,21.0,86044.0,user76@example.com,98.22,US,2023-08-17
78,40.0,97214.0,user77@example.com,51.66,UK,2023-08-20
79,46.0,63827.0,user78@example.com,26.08,DE,2023-08-23
80,35.0,85820.0,user79@example.com,99.63,FR,2023-08-26
81,43.0,78954.5,user11@example.com,51.78,IN,2023-08-29
